season,name,team,games,minutes,points,rebounds.total,assists,trueShootingPct,usage
2017,B.J. Maxwell,Abilene Christian,17,179,58,32,10,0.624,17.2
2017,Payten Ricks,Abilene Christian,28,374,97,28,34,0.496,19.1
2017,Hayden Howell,Abilene Christian,29,451,149,89,17,0.487,23.3
2017,Trey Lenox,Abilene Christian,26,201,22,18,10,0.375,12.0
2017,Jaren Lewis,Abilene Christian,29,939,397,190,61,0.577,23.9
2017,Jalone Friday,Abilene Christian,26,563,357,142,9,0.649,30.0
2017,Jaylen Franklin,Abilene Christian,26,896,282,98,115,0.476,21.4
2017,Hayden Farquhar,Abilene Christian,29,413,191,91,20,0.626,23.0
2017,Drake Green,Abilene Christian,27,648,153,55,30,0.575,12.9
2017,Isaiah Tripp,Abilene Christian,29,662,175,42,46,0.585,14.6
2017,Jadon Reynolds,Abilene Christian,5,8,0,1,0,0.0,20.4
2017,Diamante Langston,Abilene Christian,25,199,24,16,16,0.506,11.4
2017,Jovan Crnic,Abilene Christian,13,367,104,32,40,0.566,16.5
2017,Danny Hummer,Air Force,1,2,0,0,0,,0.0
2017,Lavelle Scottie,Air Force,33,473,177,105,30,0.531,21.2
2017,Ryan Swan,Air Force,9,50,17,9,1,0.535,22.7
2017,Sid Tomes,Air Force,17,181,49,19,14,0.495,16.0
2017,LeSean Brown,Air Force,13,51,11,11,4,0.496,12.1
2017,Caleb Morris,Air Force,13,97,31,15,7,0.426,22.0
2017,Pervis Louder,Air Force,24,202,69,25,13,0.47,24.0
2017,Frank Toohey,Air Force,33,819,353,149,52,0.632,21.2
2017,Trevor Lyons,Air Force,33,849,243,107,78,0.495,17.3
2017,Jacob Van,Air Force,33,944,351,83,93,0.587,19.5
2017,Jonathan DeWane,Air Force,10,24,11,5,1,0.477,24.7
2017,Dane Norman,Air Force,21,223,75,59,9,0.57,18.8
2017,Ryan Manning,Air Force,31,434,195,58,17,0.566,22.8
2017,CJ Siples,Air Force,30,441,91,59,40,0.412,15.7
2017,Hayden Graham,Air Force,32,940,402,184,63,0.564,22.2
2017,Zach Kocur,Air Force,33,837,320,142,67,0.587,19.8
2017,Kyle Broekhuis,Air Force,13,91,8,17,4,0.224,13.9
2017,Brendan Leonard,Air Force,2,10,8,3,1,0.667,30.8
2017,Keegan Culp,Air Force,4,7,0,2,0,0.0,7.3
2017,Tavian Dunn-Martin,Akron,36,384,145,29,38,0.541,21.4
2017,Michael Hughes,Akron,20,146,35,24,7,0.534,14.6
2017,Marquelle McIntyre,Akron,5,5,1,3,1,0.129,68.0
2017,Emmanuel Olojakpoke,Akron,33,195,79,46,0,0.67,17.2
2017,Daniel Utomi,Akron,30,289,143,36,8,0.605,24.8
2017,Josh Williams,Akron,35,764,263,66,26,0.549,18.9
2017,Jimond Ivey,Akron,36,1051,367,208,71,0.634,16.7
2017,Noah Robotham,Akron,33,981,291,69,99,0.576,15.6
2017,Craig Eubanks,Akron,4,26,8,1,0,0.8,15.4
2017,Antino Jackson,Akron,36,992,390,86,96,0.577,21.3
2017,Aaron Jackson,Akron,31,251,53,49,2,0.442,13.9
2017,Kwan Cheatham Jr.,Akron,36,1028,397,258,65,0.555,20.8
2017,Isaiah Johnson,Akron,36,1076,598,257,103,0.635,26.7
2017,Mark Noble,Akron,3,6,2,0,0,1.0,16.6
2017,Carlitos Anderson,Akron,2,6,0,2,1,0.0,8.8
2017,Evan Wiley,Alabama A&M,27,353,92,50,6,0.539,15.2
2017,Tracy Burnett,Alabama A&M,10,234,60,31,4,0.508,18.0
2017,Mohamed Sherif,Alabama A&M,20,311,102,72,4,0.554,19.0
2017,De'Ederick Petty,Alabama A&M,29,852,387,88,37,0.508,27.3
2017,Ariston Johnson,Alabama A&M,29,442,76,37,34,0.373,16.3
2017,Marcus Merriweather,Alabama A&M,26,456,144,40,22,0.438,22.6
2017,Eugene Jones Jr.,Alabama A&M,24,309,70,49,13,0.378,18.6
2017,Quinterian McConico,Alabama A&M,28,857,391,209,19,0.593,23.4
2017,Rakiya Battle,Alabama A&M,29,909,181,93,141,0.377,19.0
2017,L'Quan Wiltshire,Alabama A&M,7,48,6,8,3,0.577,7.9
2017,Christopher Thomas,Alabama A&M,9,163,34,22,5,0.435,17.0
2017,Matthew Cotton,Alabama A&M,29,563,125,44,24,0.484,14.3
2017,Adrian Edwards,Alabama A&M,17,378,122,80,17,0.56,17.6
2017,Kimium Woods,Alabama A&M,1,0,0,1,0,,
2017,Brandon Austin,Alabama,6,44,4,4,1,0.094,25.1
2017,Braxton Key,Alabama,33,979,400,188,83,0.528,24.9
2017,Dazon Ingram,Alabama,33,906,349,149,107,0.614,20.7
2017,Donta Hall,Alabama,33,652,194,184,18,0.662,13.6
2017,Lawson Schaffer,Alabama,16,28,16,4,5,0.743,21.4
2017,Avery Johnson Jr.,Alabama,33,637,228,54,48,0.429,23.9
2017,Riley Norris,Alabama,33,901,298,124,25,0.529,18.0
2017,Ar'Mond Davis,Alabama,31,430,191,46,3,0.449,27.6
2017,Nick King,Alabama,7,89,23,20,3,0.416,20.4
2017,Landon Fuller,Alabama,3,5,0,0,0,,0.0
2017,Jimmie Taylor,Alabama,33,609,173,123,20,0.578,15.6
2017,Shannon Hale,Alabama,21,245,87,31,6,0.456,24.3
2017,Corban Collins,Alabama,31,667,205,56,46,0.484,18.3
2017,Bola Olaniyan,Alabama,32,508,98,205,12,0.547,13.2
2017,Reginald Gee,Alabama State,31,702,267,109,17,0.5,21.5
2017,Austin Rogers,Alabama State,7,76,8,8,5,0.279,11.4
2017,Branden Johnson,Alabama State,4,8,0,1,0,0.0,24.6
2017,Steve Rogers,Alabama State,27,584,105,52,27,0.366,14.8
2017,Terrance LeFlore,Alabama State,31,711,200,68,81,0.432,20.9
2017,Demetrius Houston,Alabama State,7,194,58,44,9,0.451,21.6
2017,Rodney Simeon,Alabama State,30,771,366,132,28,0.506,26.9
2017,Artis Cleveland,Alabama State,10,40,10,9,1,0.551,16.9
2017,Tony Armstrong,Alabama State,31,843,349,205,25,0.519,22.4
2017,Amir Warnock,Alabama State,31,440,137,151,7,0.493,19.2
2017,Torloft Thomas,Alabama State,31,937,258,81,76,0.469,17.8
2017,Mikel Tyson,Alabama State,30,419,132,99,10,0.559,16.7
2017,Glenn Hollaway,Alabama State,28,213,25,38,5,0.404,9.8
2017,Corvon Butler,Alabama State,20,342,123,61,8,0.533,19.0
2017,Davante Pope,Alabama State,2,20,4,3,1,0.5,9.5
2017,Kobe Wilson,Alcorn State,5,23,0,6,0,0.0,8.2
2017,Devon Brewer,Alcorn State,20,104,12,12,5,0.34,13.4
2017,Maurice Howard,Alcorn State,32,668,216,71,61,0.527,19.2
2017,Yalen Reed,Alcorn State,32,269,69,62,5,0.548,13.7
2017,Tyler Carter,Alcorn State,30,155,37,25,8,0.416,19.0
2017,TyQuaylon Smith,Alcorn State,17,61,11,6,1,0.376,14.6
2017,Reginal Johnson,Alcorn State,32,805,500,226,25,0.587,29.0
2017,A.J. Mosby,Alcorn State,32,995,333,150,87,0.541,17.8
2017,Avery Patterson,Alcorn State,30,511,133,51,48,0.497,17.4
2017,Juwan Henderson,Alcorn State,29,293,29,28,46,0.309,14.8
2017,DeAndré Davis,Alcorn State,23,565,201,121,23,0.575,18.5
2017,Marquis Vance,Alcorn State,32,921,350,239,66,0.462,24.1
2017,Denzel Dulin,Alcorn State,31,904,291,99,44,0.516,18.4
2017,Rahamanh Katumbusi,Alcorn State,13,151,39,18,6,0.512,16.2
2017,Mark Gasperini,American University,30,819,351,126,46,0.517,27.1
2017,Yilret Yiljep,American University,1,1,0,0,0,,0.0
2017,Sa'eed Nelson,American University,30,1136,447,133,82,0.496,26.5
2017,Delante Jones,American University,30,949,344,102,53,0.508,25.6
2017,Andrija Matic,American University,17,113,22,20,4,0.52,14.0
2017,Lonnie Rivera,American University,21,363,105,42,10,0.601,17.0
2017,Matt Cimino,American University,26,326,80,43,18,0.578,16.6
2017,Kevin Brown,American University,6,3,0,0,0,,0.0
2017,James Washington,American University,27,449,100,51,20,0.485,15.0
2017,Leon Tolksdorf,American University,14,256,40,52,10,0.425,13.3
2017,Alex Paquin,American University,25,264,64,31,13,0.595,14.3
2017,Jalen Rhea,American University,24,342,95,21,5,0.545,15.6
2017,Charlie Jones,American University,30,1004,197,181,78,0.641,10.6
2017,Patrick Good,App State,29,655,203,67,45,0.615,13.8
2017,Kelvin Robinson,App State,19,361,151,62,47,0.488,24.4
2017,Isaac Johnson,App State,30,622,202,202,30,0.55,17.5
2017,Tyrell Johnson,App State,30,586,226,113,12,0.51,21.2
2017,Ronshad Shabazz,App State,30,929,502,106,51,0.509,28.4
2017,Bennett Holley,App State,24,167,79,30,6,0.608,19.7
2017,Jake Wilson,App State,20,122,22,38,4,0.356,16.9
2017,Kevin Kerley,App State,5,21,6,2,5,0.615,15.7
2017,Trey Ford,App State,6,17,3,1,3,0.5,11.3
2017,Jake Babic,App State,30,514,149,53,63,0.5,17.8
2017,Griffin Kinney,App State,30,679,295,188,41,0.568,24.3
2017,Zach Cottrell,App State,11,57,16,3,4,0.405,18.8
2017,Craig Hinton,App State,29,407,107,92,18,0.642,11.7
2017,Emarius Logan,App State,29,738,208,46,72,0.49,17.6
2017,Matt O'Boyle,App State,22,150,39,22,13,0.608,12.7
2017,Jethro Tshisumpa,Arizona State,26,193,25,39,0,0.417,9.5
2017,Andre Adams,Arizona State,14,80,19,18,2,0.649,10.7
2017,Ramon Vila,Arizona State,33,407,87,66,2,0.664,9.3
2017,Grant Fogerty,Arizona State,1,1,0,0,0,,0.0
2017,Sam Cunliffe,Arizona State,10,254,95,48,14,0.467,22.2
2017,Maurice O'Field,Arizona State,11,47,8,6,4,0.571,8.2
2017,Kodi Justice,Arizona State,33,1025,302,94,80,0.583,15.1
2017,Tra Holder,Arizona State,33,1174,536,121,106,0.562,22.9
2017,Shannon Evans II,Arizona State,33,1179,494,110,144,0.555,21.3
2017,Austin Witherill,Arizona State,16,26,2,2,1,0.205,8.9
2017,Obinna Oleka,Arizona State,33,1084,411,327,38,0.524,20.8
2017,Torian Graham,Arizona State,33,1145,614,139,39,0.571,25.1
2017,Chris Odionu,Arizona State,2,2,0,0,0,,0.0
2017,Romaine Jackson,Arizona State,3,3,0,1,0,,16.8
2017,Kory Jones,Arizona,4,7,3,0,0,1.5,7.4
2017,Jake DesJardins,Arizona,7,12,2,1,0,0.347,20.6
2017,Dusan Ristic,Arizona,36,822,391,197,16,0.591,23.6
2017,Allonzo Trier,Arizona,18,575,310,96,48,0.622,25.7
2017,Parker Jackson-Cartwright,Arizona,31,773,182,76,127,0.581,13.4
2017,Tyler Trillo,Arizona,8,31,0,0,4,0.0,6.5
2017,Keanu Pinder,Arizona,35,421,78,100,11,0.569,12.2
2017,Rawle Alkins,Arizona,37,1037,404,183,76,0.572,21.2
2017,Paulo Cruz,Arizona,8,21,0,3,0,0.0,19.4
2017,Lauri Markkanen,Arizona,37,1140,576,266,32,0.643,22.4
2017,Kadeem Allen,Arizona,34,1019,332,137,101,0.578,18.1
2017,Chance Comanche,Arizona,37,671,232,133,13,0.615,17.7
2017,Kobi Simmons,Arizona,37,871,323,60,73,0.504,22.0
2017,Brachen Hazen,Arkansas,14,42,3,12,2,0.193,13.3
2017,C.J. Jones,Arkansas,20,125,51,13,6,0.653,16.4
2017,Adrio Bailey,Arkansas,26,197,50,35,7,0.528,14.3
2017,Jonathan Holmes,Arkansas,6,8,2,1,0,0.2,29.7
2017,Trey Thompson,Arkansas,35,474,81,106,53,0.635,8.7
2017,Daryl Macon,Arkansas,35,887,470,94,78,0.629,23.8
2017,Jaylen Barford,Arkansas,35,882,439,132,71,0.518,27.2
2017,Anton Beard,Arkansas,35,740,260,73,68,0.535,18.3
2017,Arlando Cook,Arkansas,35,386,94,79,11,0.464,15.6
2017,Dustin Thomas,Arkansas,35,635,187,133,37,0.535,16.1
2017,Moses Kingsley,Arkansas,35,983,425,271,48,0.551,22.4
2017,Dusty Hannahs,Arkansas,35,865,500,60,41,0.594,27.0
2017,Manuale Watkins,Arkansas,35,776,214,138,66,0.607,12.3
2017,Jahmiah Simmons,Arkansas State,25,462,160,124,6,0.587,18.1
2017,Christian Willis,Arkansas State,10,43,11,5,2,0.486,20.8
2017,Salif Boudie,Arkansas State,22,224,55,43,2,0.646,13.5
2017,Connor Kern,Arkansas State,32,545,141,71,11,0.643,10.7
2017,Nelson Nweke,Arkansas State,21,147,32,31,1,0.55,14.0
2017,Tamas Bruce,Arkansas State,32,498,243,184,8,0.573,25.2
2017,Rashad Lindsey,Arkansas State,32,1086,331,91,81,0.563,16.5
2017,C.J. Foster,Arkansas State,32,618,149,71,27,0.551,13.9
2017,Andrew Riley,Arkansas State,12,23,14,2,1,0.888,16.6
2017,Deven Simms,Arkansas State,30,799,403,150,56,0.536,28.3
2017,Donte Thomas,Arkansas State,32,903,275,143,177,0.456,21.9
2017,Devin Carter,Arkansas State,32,1055,526,115,25,0.58,23.7
2017,Christian Davis,Arkansas State,8,22,6,8,0,0.285,30.0
2017,Artavious McDyess,Arkansas-Pine Bluff,28,174,18,29,3,0.395,10.2
2017,Marcus Wallace,Arkansas-Pine Bluff,24,337,98,26,14,0.564,18.8
2017,Khalid Campbell,Arkansas-Pine Bluff,18,68,6,9,2,0.218,12.6
2017,Charles Jackson,Arkansas-Pine Bluff,29,582,192,67,43,0.589,18.1
2017,Travon Harper,Arkansas-Pine Bluff,32,549,184,107,15,0.452,24.0
2017,Trent Steen,Arkansas-Pine Bluff,32,689,291,140,20,0.537,24.9
2017,David Tillman,Arkansas-Pine Bluff,18,117,11,20,2,0.506,9.1
2017,Joe'Randle Toliver,Arkansas-Pine Bluff,32,819,212,78,59,0.498,16.9
2017,Kennedy McKinney,Arkansas-Pine Bluff,32,570,140,71,37,0.467,19.2
2017,Devin Berry,Arkansas-Pine Bluff,29,395,89,86,12,0.467,16.4
2017,Ghiavonni Robinson,Arkansas-Pine Bluff,29,827,261,102,43,0.483,20.3
2017,Jaquan Lynch,Arkansas-Pine Bluff,32,798,287,69,67,0.514,20.8
2017,Deshon Bayless,Arkansas-Pine Bluff,23,357,134,62,10,0.501,25.7
2017,Cedric Turner,Arkansas-Pine Bluff,9,44,6,1,2,0.294,17.5
2017,Marquis Cunningham,Arkansas-Pine Bluff,25,199,48,34,5,0.419,22.1
2017,Matt Wilson,Army,32,536,295,158,11,0.642,25.5
2017,Tommy Funk,Army,32,951,292,96,155,0.447,21.5
2017,Jordan Fox,Army,32,1026,408,77,146,0.563,20.8
2017,Jacob Kessler,Army,32,807,223,135,60,0.568,15.2
2017,John Miller,Army,20,61,14,10,2,0.457,14.9
2017,John Emezie,Army,32,707,285,87,47,0.546,22.8
2017,Adam Roe,Army,9,77,41,11,2,0.594,25.2
2017,Jason Houle,Army,9,48,15,3,1,0.375,22.5
2017,Cayne Edwards,Army,4,10,1,7,0,0.129,22.4
2017,Luke Morrison,Army,30,597,267,139,19,0.549,23.1
2017,Daniel Andrews,Army,1,4,0,3,0,,10.4
2017,Gunther Klimes,Army,8,56,5,7,5,0.227,13.2
2017,Mac Hoffman,Army,32,692,198,209,26,0.579,15.1
2017,Kennedy Edwards,Army,27,397,151,107,13,0.485,23.5
2017,Richard Brown,Army,16,70,8,15,5,0.372,11.6
2017,Scott Mammel,Army,32,428,119,27,26,0.605,13.2
2017,Vincent McFadden,Army,1,2,0,0,0,,0.0
2017,Ben Mammel,Army,1,6,2,1,1,0.5,13.8
2017,Danjel Purifoy,Auburn,28,801,325,131,50,0.593,18.5
2017,Austin Wiley,Auburn,22,397,199,104,5,0.588,24.5
2017,Anfernee McLemore,Auburn,31,459,166,135,4,0.699,14.8
2017,Will Macoy,Auburn,4,8,8,1,0,0.667,33.8
2017,Mustapha Heron,Auburn,31,869,469,189,40,0.572,25.8
2017,Jared Harper,Auburn,31,746,348,60,92,0.544,23.0
2017,Bryce Brown,Auburn,27,563,204,53,33,0.521,18.2
2017,Cole Blackstock,Auburn,3,5,0,2,0,,0.0
2017,Horace Spencer,Auburn,19,309,92,65,10,0.562,14.9
2017,T.J. Lang,Auburn,28,465,123,51,13,0.59,12.0
2017,Patrick Keim,Auburn,5,9,4,3,1,0.515,24.4
2017,Trey Tate,Auburn,2,4,0,0,0,0.0,10.9
2017,LaRon Smith,Auburn,24,288,63,57,6,0.545,12.0
2017,T.J. Dunans,Auburn,30,736,251,108,75,0.437,22.6
2017,Ronnie Johnson,Auburn,31,512,246,55,72,0.539,24.1
2017,Mike Cohen,Auburn,2,4,0,0,1,,0.0
2017,Devin Waddell,Auburn,11,75,7,6,3,0.478,6.4
2017,Jared Savage,Austin Peay,29,919,298,127,35,0.554,16.8
2017,Chris Porter-Bunton,Austin Peay,30,664,189,108,31,0.574,15.2
2017,Zach Glotta,Austin Peay,30,368,84,19,26,0.493,13.5
2017,Steve Harris,Austin Peay,13,92,21,9,6,0.557,12.4
2017,Tre' Ivory,Austin Peay,29,270,37,19,29,0.482,8.7
2017,Kenny Jones,Austin Peay,30,957,428,231,26,0.611,22.2
2017,John Murry,Austin Peay,30,908,511,81,46,0.605,27.6
2017,Josh Robinson,Austin Peay,29,1062,590,86,101,0.586,27.5
2017,Assane Diop,Austin Peay,24,267,57,61,7,0.571,12.8
2017,Dre'Kalo Clayton,Austin Peay,29,452,102,78,16,0.479,14.7
2017,Jartavious Dobbs,Austin Peay,14,88,6,25,1,0.403,10.2
2017,Domas Budrys,Austin Peay,5,29,8,1,0,0.508,17.1
2017,Colby Leifson,BYU,26,111,42,8,6,0.479,20.9
2017,TJ Haws,BYU,34,1040,470,97,110,0.583,22.0
2017,Yoeli Childs,BYU,33,854,306,272,41,0.57,17.9
2017,Steven Beo,BYU,31,356,68,40,27,0.458,11.9
2017,Payton Dastrup,BYU,24,104,27,31,5,0.422,17.6
2017,Nick Emery,BYU,34,1024,447,103,82,0.556,21.5
2017,Zach Frampton,BYU,14,51,5,17,2,0.282,9.5
2017,Jamal Aytes,BYU,28,162,60,33,6,0.602,17.7
2017,Elijah Bryant,BYU,23,567,269,83,51,0.565,23.0
2017,Braiden Shaw,BYU,31,203,44,60,5,0.553,11.7
2017,Eric Mika,BYU,34,974,691,312,56,0.605,31.4
2017,Kyle Davis,BYU,10,185,88,40,9,0.619,21.3
2017,L.J. Bernard Rose,BYU,25,651,138,116,117,0.505,12.7
2017,Davin Guinn,BYU,33,431,76,70,17,0.44,10.8
2017,Corbin Kaufusi,BYU,16,86,10,15,0,0.382,12.5
2017,Kyle Mallers,Ball State,34,379,74,55,16,0.474,12.0
2017,Josh Thompson,Ball State,4,7,0,0,0,0.0,51.5
2017,Tahjai Teague,Ball State,33,628,241,190,28,0.569,20.4
2017,Tayler Persons,Ball State,34,986,526,131,167,0.586,27.5
2017,Trey Moses,Ball State,33,902,302,274,75,0.572,18.3
2017,Sean Sellers,Ball State,34,862,294,96,45,0.615,15.7
2017,Francis Kiapway,Ball State,34,839,274,56,37,0.519,17.5
2017,Jeremie Tyler,Ball State,20,395,169,29,20,0.579,21.8
2017,Franko House,Ball State,34,891,456,219,79,0.608,24.7
2017,DouDou Gueye,Ball State,19,101,13,22,7,0.424,9.9
2017,Kaleb Mallory,Ball State,7,21,0,1,3,0.0,13.3
2017,Ryan Weber,Ball State,34,887,328,101,52,0.604,18.2
2017,Wendell Mitchell,Baylor,25,220,73,18,16,0.519,21.7
2017,King McClure,Baylor,32,458,160,40,26,0.588,18.1
2017,Jake Lindsey,Baylor,35,790,163,78,110,0.556,12.1
2017,Jo Lual-Acuil Jr.,Baylor,35,914,320,234,12,0.564,18.2
2017,Nuni Omot,Baylor,25,281,100,48,8,0.529,20.2
2017,Manu Lecomte,Baylor,33,992,402,61,126,0.588,21.2
2017,Jonathan Davis,Baylor,12,23,16,1,0,0.687,29.6
2017,Terry Maston,Baylor,33,516,233,126,19,0.568,24.8
2017,Allerik Freeman,Baylor,31,742,300,77,37,0.592,20.7
2017,Ish Wainright,Baylor,35,1028,194,179,111,0.51,12.3
2017,Johnathan Motley,Baylor,34,1036,589,335,79,0.573,30.5
2017,Michael Benkert,Belmont,23,137,26,15,6,0.439,12.7
2017,Seth Adelsperger,Belmont,28,103,34,31,1,0.487,21.6
2017,Dylan Windler,Belmont,30,904,275,190,48,0.66,13.7
2017,Kevin McClain,Belmont,30,346,137,39,32,0.487,26.3
2017,Amanze Egekeze,Belmont,30,817,339,165,28,0.65,19.3
2017,Tyler Hadden,Belmont,25,91,27,26,4,0.507,20.2
2017,Austin Luke,Belmont,30,923,239,85,214,0.541,17.7
2017,Mack Mercer,Belmont,1,0,0,0,0,0.0,
2017,Burton Sampson,Belmont,30,327,31,39,14,0.49,7.4
2017,Evan Bradds,Belmont,29,925,581,245,68,0.663,29.5
2017,Taylor Barnette,Belmont,30,995,340,81,55,0.511,19.7
2017,Nick Smith,Belmont,30,418,268,48,9,0.674,25.5
2017,Josh Lester,Belmont,19,39,5,11,2,0.317,11.7
2017,Brandon Suggs,Bethune-Cookman,30,601,115,106,10,0.61,9.3
2017,Quinton Forrest,Bethune-Cookman,32,988,390,171,48,0.568,19.6
2017,Houston Smith,Bethune-Cookman,27,383,56,58,12,0.511,9.9
2017,Ulmer Manzie,Bethune-Cookman,32,565,108,106,20,0.458,13.4
2017,Jeffrey Altidort,Bethune-Cookman,30,690,182,60,96,0.477,18.8
2017,Brandon Tabb,Bethune-Cookman,32,1100,570,174,53,0.527,26.3
2017,Rodney Ross,Bethune-Cookman,4,19,0,3,0,0.0,4.6
2017,Jamal Gaines,Bethune-Cookman,5,19,6,1,1,0.51,20.8
2017,Josue Salaam,Bethune-Cookman,21,250,69,33,11,0.452,16.2
2017,Reggie Baker,Bethune-Cookman,32,994,431,148,54,0.475,24.9
2017,Diamante Lewis,Bethune-Cookman,31,944,341,156,142,0.453,24.1
2017,Danny Harris,Bethune-Cookman,6,21,7,2,1,0.376,28.9
2017,Marquel Ingram,Bethune-Cookman,1,1,0,1,0,,127.0
2017,Thomas Bruce,Binghamton,30,780,209,150,35,0.498,17.6
2017,J.C. Show,Binghamton,12,346,159,47,21,0.578,24.9
2017,Everson Davis,Binghamton,32,541,178,80,36,0.472,21.6
2017,Timmy Rose,Binghamton,32,844,234,84,116,0.565,16.9
2017,Willie Rodriguez,Binghamton,23,613,275,126,26,0.585,25.0
2017,Bobby Ahearn,Binghamton,30,733,292,138,21,0.629,20.7
2017,Dusan Perovic,Binghamton,32,400,171,75,14,0.506,25.7
2017,Jordan McRae,Binghamton,15,49,8,8,2,0.333,15.2
2017,Fard Muhammad,Binghamton,28,385,157,35,8,0.528,22.9
2017,John Schurman,Binghamton,15,101,45,20,3,0.612,20.8
2017,Justin McFadden,Binghamton,6,54,19,11,7,0.857,15.5
2017,Yosef Yacob,Binghamton,28,493,169,32,35,0.571,19.6
2017,Marlon Beck II,Binghamton,32,680,208,75,47,0.49,18.7
2017,John Rinaldi,Binghamton,32,406,51,85,39,0.481,9.5
2017,Cameron Oluyitan,Boise State,17,129,23,31,4,0.37,14.6
2017,Justinian Jessup,Boise State,31,725,231,84,43,0.545,17.4
2017,Alex Hobbs,Boise State,25,317,118,38,18,0.559,20.5
2017,Marcus Dickinson,Boise State,25,261,73,29,21,0.586,14.4
2017,Robin Jorch,Boise State,29,254,68,55,2,0.645,12.7
2017,Paris Austin,Boise State,31,894,387,103,89,0.585,22.7
2017,Malek Harwell,Boise State,9,39,13,8,0,0.351,31.2
2017,Zach Haney,Boise State,29,432,149,119,5,0.507,19.8
2017,David Wacker,Boise State,28,503,140,120,12,0.652,13.0
2017,Chandler Hutchison,Boise State,31,977,523,245,83,0.558,28.6
2017,Nick Duncan,Boise State,31,955,298,111,55,0.546,16.8
2017,James Reid,Boise State,30,707,308,69,50,0.627,20.9
2017,Matt Grooms,Boise State,5,7,0,1,0,0.0,21.1
2017,Ty Graves,Boston College,11,207,53,10,18,0.508,16.4
2017,Johncarlos Reyes,Boston College,21,134,34,24,4,0.525,14.5
2017,Nik Popovic,Boston College,29,401,178,101,13,0.511,25.1
2017,Matt DiLuccio,Boston College,1,1,0,0,0,,0.0
2017,A.J. Turner,Boston College,32,987,270,105,96,0.547,14.0
2017,Ky Bowman,Boston College,32,922,456,155,92,0.615,24.8
2017,Jordan Chatman,Boston College,32,794,274,69,34,0.6,16.4
2017,Ervins Meznieks,Boston College,9,41,8,5,2,0.4,18.5
2017,Gordon Gehan,Boston College,3,3,0,0,0,0.0,33.5
2017,Jerome Robinson,Boston College,32,1089,597,124,108,0.52,30.7
2017,Mo Jeffers,Boston College,32,651,177,179,16,0.511,16.6
2017,Connar Tava,Boston College,32,808,189,174,67,0.552,14.7
2017,Garland Owens,Boston College,28,294,54,64,23,0.481,12.1
2017,Mike Sagay,Boston College,15,67,30,14,0,0.449,30.3
2017,Aser Ghebremichael,Boston College,2,2,0,1,0,,0.0
2017,Destin Barnes,Boston University,10,150,55,20,10,0.568,18.5
2017,Max Mahoney,Boston University,22,264,118,73,12,0.586,24.4
2017,Tyler Scanlon,Boston University,32,808,260,106,35,0.57,15.9
2017,Cheddi Mosely,Boston University,11,253,101,23,17,0.545,21.5
2017,Kamali Chambers,Boston University,16,87,29,7,4,0.638,15.6
2017,Nick Havener,Boston University,28,468,147,152,33,0.636,16.1
2017,Cedric Hankerson,Boston University,31,896,298,71,34,0.511,17.9
2017,Eric Johnson,Boston University,27,454,111,40,54,0.527,16.0
2017,Will Goff,Boston University,28,402,98,40,17,0.589,13.1
2017,Justin Alston,Boston University,32,764,385,200,22,0.603,24.3
2017,Kyle Foreman,Boston University,30,783,201,72,136,0.472,18.9
2017,Eric Fanning,Boston University,32,897,477,193,67,0.559,29.6
2017,Dylan Haines,Boston University,19,126,27,30,5,0.337,18.1
2017,Blaise Mbargorba,Boston University,8,77,18,12,0,0.731,11.8
2017,Brandon Johnson,Boston University,7,26,7,4,0,0.389,19.0
2017,Cameron Curry,Boston University,8,45,7,1,3,0.444,13.0
2017,Justin Turner,Bowling Green,4,53,15,4,1,0.545,15.7
2017,Malik Hluchoweckyj,Bowling Green,13,123,24,17,6,0.517,11.9
2017,Dylan Frye,Bowling Green,32,760,284,71,38,0.548,18.9
2017,Ethan Good,Bowling Green,5,18,3,1,1,0.255,20.6
2017,Jeffrey Uju,Bowling Green,2,28,9,10,0,0.75,12.4
2017,Demajeo Wiggins,Bowling Green,32,787,320,250,22,0.535,21.7
2017,Antwon Lillard,Bowling Green,30,690,237,125,45,0.523,19.6
2017,Rodrick Caldwell,Bowling Green,32,582,217,58,53,0.509,20.6
2017,Matt Fox,Bowling Green,32,506,133,55,17,0.568,12.3
2017,Wes Alcegaire,Bowling Green,32,872,370,106,44,0.513,23.9
2017,Zack Denny,Bowling Green,31,853,394,154,34,0.521,23.8
2017,Rasheed Worrell,Bowling Green,31,482,136,117,11,0.478,16.7
2017,Ismail Ali,Bowling Green,30,711,202,62,117,0.467,19.3
2017,Teo Redding,Bowling Green,1,5,5,0,0,0.833,27.7
2017,Hunter Folkertsma,Bowling Green,1,5,6,1,1,1.087,34.7
2017,Koch Bar,Bradley,33,702,199,174,10,0.55,16.5
2017,Nate Kennell,Bradley,32,572,181,60,53,0.571,18.4
2017,Darrell Brown,Bradley,32,980,402,73,87,0.524,25.3
2017,Ronnie Suggs,Bradley,16,115,30,28,5,0.384,20.2
2017,Callum Barker,Bradley,27,233,52,46,5,0.575,12.9
2017,Dwayne Lautier-Ogunleye,Bradley,30,596,183,88,48,0.531,19.2
2017,Peter Hanley,Bradley,5,9,3,5,1,0.798,11.1
2017,Jayden Hodgson,Bradley,33,690,169,61,57,0.506,16.4
2017,Antoine Pittman,Bradley,31,548,175,57,26,0.504,20.8
2017,Luuk van Bree,Bradley,33,661,215,110,29,0.516,20.0
